Epoch,Accuracy,Precision,Recall,F1 Score,,,,,,,,,,,,Epoch,Accuracy,Precision,Recall,F1 Score
70,80.03679067,0.789383215,0.800367907,0.77200999,,,,,,,,,,,,,,,,
71,79.97236819,0.78830128,0.799723682,0.770857903,,,,,,,,,,,,,,,,
72,80.01350544,0.789291699,0.800135054,0.771887006,,,,,,,,,,,,,,,,
73,80.12837927,0.792646353,0.801283793,0.772952211,,,,,,,,,,,,,,,,
74,80.15865008,0.792854083,0.801586501,0.77330909,,,,,,,,,,,,,,,,
75,80.14002189,0.792417394,0.801400219,0.773255818,,,,,,,,,,,,,,,,
76,80.1276031,0.791803813,0.801276031,0.773539605,,,,,,,,,,,,,,,,
77,80.05619504,0.792574613,0.80056195,0.772658434,,,,,,,,,,,,,,,,
78,80.06395678,0.791159842,0.800639568,0.772572399,,,,,,,,,,,,,,,,
79,80.12527457,0.7930152,0.801252746,0.773155049,,,,,,,,,,,,,,,,
80,80.10276551,0.791460445,0.801027655,0.772788145,,,,,,,,,,,,,,,,
81,80.12527457,0.793211539,0.801252746,0.773209901,,,,,,,,,,,,,,,,
82,80.10043699,0.792540001,0.80100437,0.773027917,,,,,,,,,,,,,,,,
83,80.12372222,0.793491599,0.801237222,0.773511439,,,,,,,,,,,,,,,,
84,80.10276551,0.793737802,0.801027655,0.773220795,,,,,,,,,,,,,,,,
85,80.09345142,0.793806613,0.800934514,0.7729269,,,,,,,,,,,,,,,,
86,80.06706148,0.792930735,0.800670615,0.77244404,,,,,,,,,,,,,,,,
87,80.01971483,0.793041419,0.800197148,0.772152621,,,,,,,,,,,,,,,,
88,80.04610477,0.793332112,0.800461048,0.772096114,,,,,,,,,,,,,,,,
89,80.11673665,0.794475294,0.801167367,0.772934194,,,,,,,,,,,,,,,,
90,80.118289,0.793976951,0.80118289,0.773124246,,,,,,,,,,,,,,,,
91,80.09577994,0.793504714,0.800957799,0.772375475,,,,,,,,,,,,,,,,
92,80.1276031,0.794146368,0.801276031,0.772907819,,,,,,,,,,,,,,,,
93,80.17805444,0.794341516,0.801780544,0.773816046,,,,,,,,,,,,,,,,
94,80.13614102,0.794083102,0.80136141,0.773315504,,,,,,,,,,,,,,,,
95,80.12527457,0.794040715,0.801252746,0.772939774,,,,,,,,,,,,,,,,
96,80.20754907,0.795303108,0.802075491,0.773715823,,,,,,,,,,,,,,,,
97,80.22850579,0.796454512,0.802285058,0.774223126,,,,,,,,,,,,,,,,
98,80.22772961,0.797027472,0.802277296,0.774348238,,,,,,,,,,,,,,,,
99,80.16020243,0.794465292,0.801602024,0.773229011,,,,,,,,,,,,,,,,
100,80.22850579,0.795029661,0.802285058,0.774141336,,,,,,,,,,,,,,,,
101,,0.795594029,0.802968091,0.775053662,,,,,,,,,,,,,,,,
102,,0.796158398,0.803651125,0.775965987,,,,,,,,,,,,,,,,
103,,0.796722766,0.804334159,0.776878312,,,,,,,,,,,,,,,,
104,,0.797287135,0.805017192,0.777790637,,,,,,,,,,,,,,,,
105,,0.797851503,0.805700226,0.778702962,,,,,,,,,,,,,,,,
